,geo_2,Country,Year,GDP_VALUE,Indicator,Unit_2,primary_energy_consumption,POP_VALUE,Unit_pop,Age class,Sex,GDP_capita,Energy_Intensity,Energy_per_capita
91,IT,Italy,2017,1607995.7,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1847.6258544921875,60066734,Number,Total,Total,0.026770153676076346,0.0011490241264278179,3.075955244199206e-05
92,IT,Italy,2018,1621288.1,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1859.7816162109373,59937769,Number,Total,Total,0.0270495236484361,0.0011471012562239476,3.102854255738043e-05
93,FR,France,2018,2205470.1,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",2790.4287109375,67026224,Number,Total,Total,0.03290458522622429,0.0012652308054130954,4.16318948675596e-05
94,DE,Germany,2018,3021545.2,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",3845.41357421875,82792351,Number,Total,Total,0.03649546321012191,0.0012726645870525946,4.644648361560297e-05
95,ES,Spain,2018,1173863.3,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1628.6715087890625,46645070,Number,Total,Total,0.025165859971911286,0.0013874456325443196,3.491626250725023e-05
96,ES,Spain,2019,1196884.8,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1583.87109375,46918951,Number,Total,Total,0.025509624032302003,0.0013233279374506217,3.375759815580702e-05
97,DE,Germany,2019,3051087.9,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",3753.70361328125,83019213,Number,Total,Total,0.036751587852320404,0.001230283668091388,4.521487831113564e-05
98,FR,France,2019,2250184.8,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",2731.347412109375,67290471,Number,Total,Total,0.033439872935352166,0.0012138324870514525,4.059040413180308e-05
99,IT,Italy,2019,1628246.1,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1839.95263671875,59816673,Number,Total,Total,0.027220606201217513,0.0011300212152934067,3.075986250052306e-05
100,IT,Italy,2020,1483849.6,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1663.422607421875,59641488,Number,Total,Total,0.024879486574848703,0.0011210183346222387,2.789036060639324e-05
101,FR,France,2020,2082756.5,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",2444.265380859375,67473651,Number,Total,Total,0.03086770123051441,0.0011735723215168816,3.62254797929843e-05
102,DE,Germany,2020,2925019.6,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",3498.9150390625,83166711,Number,Total,Total,0.0351705576044723,0.001196202254187459,4.207110028749965e-05
103,ES,Spain,2020,1065944.8,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1422.9599609375,47318050,Number,Total,Total,0.022527234321786296,0.0013349283761574708,3.0072244332501022e-05
104,ES,Spain,2021,1137183.4,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1531.8994140625,47400798,Number,Total,Total,0.023990807074598195,0.0013470996974300716,3.231800895129445e-05
105,DE,Germany,2021,3039387.8,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",3598.492431640625,83155031,Number,Total,Total,0.03655085884100025,0.0011839530420042566,4.3274500512670426e-05
106,FR,France,2021,2226098.8,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",2597.560546875,67728568,Number,Total,Total,0.03286794429198621,0.001166866693821047,3.83525094886843e-05
107,IT,Italy,2021,1616373.2,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1785.1416015625,59236213,Number,Total,Total,0.02728690978270336,0.0011044117791377016,3.0135984580285373e-05
108,IT,Italy,2022,1694301.4,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1755.46484375,59030133,Number,Total,Total,0.02870231378269129,0.0010360995061150277,2.9738453134605e-05
109,FR,France,2022,2286576.7,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",2306.19189453125,68091703,Number,Total,Total,0.033580841706955106,0.0010085784109193669,3.386891196613558e-05
110,DE,Germany,2022,3094378.2,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",3455.449951171875,83237124,Number,Total,Total,0.03717545791226521,0.0011166863672875782,4.1513327048299684e-05
111,ES,Spain,2022,1209625.6,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1592.16552734375,47486843,Number,Total,Total,0.025472857818743606,0.0013162465537632057,3.35285613184214e-05
112,ES,Spain,2023,1239392.8,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1569.631103515625,48085361,Number,Total,Total,0.025774846527615754,0.0012664516878875083,3.2642597889940455e-05
113,DE,Germany,2023,3067468.0,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",3178.885986328125,83118501,Number,Total,Total,0.036904756018157736,0.001036322460846576,3.824522757367971e-05
114,FR,France,2023,2319485.4,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",2406.513671875,68277210,Number,Total,Total,0.033971590227544445,0.0010375205085899658,3.524622157049182e-05
115,IT,Italy,2023,1710832.6,Gross domestic product at market prices,"Chain linked volumes (2010), million euro",1680.6544189453125,58997201,Number,Total,Total,0.028998538422187182,0.0009823605295721583,2.8487019561238378e-05
